

Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
5	4	0.724
4	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
2	3	0.314
15	5	0.14
0	0	0.098
0	0	0.054
0	0	0.032
6	0	0.032
6	7	0.032
0	2	0.032
0	0	0.032
2	7	0.032
3	7	0.032


Graph1.txt



src-id	dst-id	pir
3	7	1.0
6	7	0.814
4	0	0.724
9	8	0.724
8	4	0.724
0	1	0.714
1	2	0.706
3	6	0.626
2	3	0.6
10	11	0.314
13	9	0.14
4	5	0.098
0	5	0.054
6	12	0.032
14	12	0.032
14	15	0.032
12	10	0.032
1	12	0.032
10	15	0.032
11	15	0.032


Graph1.txt



src-id	dst-id	pir
0	0	1.0
0	0	0.814
0	0	0.724
0	0	0.724
0	0	0.724
0	0	0.714
0	0	0.706
0	0	0.626
0	0	0.6
0	0	0.314
15	0	0.14
0	0	0.098
0	0	0.054
0	0	0.032
0	0	0.032
0	0	0.032
0	0	0.032
0	0	0.032
0	0	0.032
0	0	0.032


Graph1.txt



src-id	dst-id	pir
3	7	1.0
6	7	0.814
4	0	0.724
9	8	0.724
8	4	0.724
0	1	0.714
1	2	0.706
3	6	0.626
2	3	0.6
10	11	0.314
13	9	0.14
4	5	0.098
0	5	0.054
6	12	0.032
14	12	0.032
14	15	0.032
12	10	0.032
1	12	0.032
10	15	0.032
11	15	0.032


Graph1.txt



src-id	dst-id	pir
3	7	1.0
6	7	0.814
4	0	0.724
9	8	0.724
8	4	0.724
